epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,phase
85,1620.15,1.19116,4.23155,1.24777,0.57995,0.38859,0.4086,0.26874,1.32262,inf,1.27912,4.77229e-06,4.77229e-06,4.77229e-06,1
86,1639.05,1.20795,4.29648,1.25779,0.57305,0.38996,0.40843,0.26865,1.3238,inf,1.28002,4.28477e-06,4.28477e-06,4.28477e-06,1
87,1656.99,1.18246,4.16232,1.24013,0.57643,0.38874,0.40915,0.26883,1.32427,inf,1.28016,3.82641e-06,3.82641e-06,3.82641e-06,1
1,28.5034,1.46241,6.1711,1.42424,0.4818,0.34266,0.33776,0.21737,1.40983,inf,1.34404,0.00860938,9.38e-06,9.38e-06,2
2,46.797,1.43344,6.04481,1.41018,0.47066,0.34517,0.33675,0.21901,1.40632,inf,1.34421,0.00711943,1.94253e-05,1.94253e-05,2
3,65.6757,1.40096,5.84731,1.37952,0.50304,0.35479,0.3562,0.23182,1.37448,inf,1.31679,0.00562945,2.94512e-05,2.94512e-05,2
4,83.204,1.41317,5.75452,1.38258,0.50344,0.35748,0.36733,0.24017,1.35901,inf,1.30697,0.00413944,3.94432e-05,3.94432e-05,2
5,102.96,1.37293,5.66872,1.36647,0.50178,0.36724,0.37444,0.24394,1.34757,inf,1.29786,0.00264939,4.93865e-05,4.93865e-05,2
6,120.368,1.37488,5.59767,1.36509,0.50819,0.36443,0.37843,0.24787,1.33834,inf,1.29196,0.00115927,5.92666e-05,5.92666e-05,2
7,137.249,1.3633,5.52741,1.35641,0.51126,0.36566,0.3817,0.25013,1.33408,inf,1.28939,6.64126e-05,6.64126e-05,6.64126e-05,2
8,155.038,1.34573,5.38333,1.34598,0.53228,0.3638,0.38265,0.25144,1.33584,inf,1.28655,6.62013e-05,6.62013e-05,6.62013e-05,2
9,172.88,1.34075,5.32925,1.34769,0.52511,0.36755,0.38549,0.25313,1.33166,inf,1.28502,6.59581e-05,6.59581e-05,6.59581e-05,2
10,191.446,1.35054,5.35245,1.34281,0.53581,0.36312,0.38721,0.25445,1.32382,inf,1.27962,6.56831e-05,6.56831e-05,6.56831e-05,2
11,209.995,1.34697,5.2737,1.34478,0.52676,0.37077,0.39174,0.25738,1.32191,inf,1.27411,6.53768e-05,6.53768e-05,6.53768e-05,2
12,227.068,1.33435,5.26725,1.33896,0.55569,0.36605,0.3912,0.25932,1.32048,inf,1.27459,6.50393e-05,6.50393e-05,6.50393e-05,2
13,245.629,1.31839,5.17676,1.33067,0.52728,0.37032,0.39064,0.2585,1.31798,inf,1.27327,6.4671e-05,6.4671e-05,6.4671e-05,2
14,265.152,1.33326,5.14296,1.33113,0.53211,0.3745,0.39419,0.26014,1.31896,inf,1.2755,6.42723e-05,6.42723e-05,6.42723e-05,2
15,282.659,1.30595,5.03039,1.31195,0.55144,0.37299,0.39835,0.26349,1.31396,inf,1.27142,6.38436e-05,6.38436e-05,6.38436e-05,2
16,300.461,1.32955,5.09062,1.32703,0.52946,0.38478,0.39701,0.26324,1.31786,inf,1.27165,6.33852e-05,6.33852e-05,6.33852e-05,2
17,318.622,1.3146,5.05287,1.32315,0.52934,0.38197,0.39663,0.26239,1.31838,inf,1.27122,6.28977e-05,6.28977e-05,6.28977e-05,2
18,336.366,1.29838,4.9538,1.30683,0.52874,0.38681,0.39915,0.26339,1.3195,inf,1.27111,6.23815e-05,6.23815e-05,6.23815e-05,2
19,354.7,1.32462,5.10454,1.33284,0.5348,0.38829,0.40162,0.26543,1.31819,inf,1.27155,6.18371e-05,6.18371e-05,6.18371e-05,2
20,373.023,1.28684,4.87369,1.29557,0.55487,0.38473,0.40292,0.26584,1.31609,inf,1.26892,6.12651e-05,6.12651e-05,6.12651e-05,2
21,390.079,1.28173,4.88152,1.30456,0.54202,0.38491,0.40067,0.26427,1.31536,inf,1.27004,6.0666e-05,6.0666e-05,6.0666e-05,2
22,408.021,1.26567,4.7674,1.29361,0.54081,0.38497,0.40245,0.26571,1.31577,inf,1.26804,6.00405e-05,6.00405e-05,6.00405e-05,2
23,426.189,1.2843,4.77215,1.29518,0.54642,0.38334,0.40163,0.2656,1.31275,inf,1.26709,5.93891e-05,5.93891e-05,5.93891e-05,2
24,444.168,1.29297,4.92401,1.31289,0.5372,0.38789,0.40275,0.26654,1.31331,inf,1.26851,5.87124e-05,5.87124e-05,5.87124e-05,2
25,462.202,1.27322,4.78539,1.28782,0.5413,0.38624,0.4034,0.26678,1.31391,inf,1.26694,5.80112e-05,5.80112e-05,5.80112e-05,2
26,480.936,1.27125,4.80303,1.29606,0.5365,0.39451,0.40435,0.26764,1.31554,inf,1.27144,5.72862e-05,5.72862e-05,5.72862e-05,2
27,498.843,1.2671,4.77594,1.29443,0.54114,0.39644,0.40418,0.26693,1.31384,inf,1.27149,5.6538e-05,5.6538e-05,5.6538e-05,2
28,515.756,1.26261,4.68916,1.28676,0.54721,0.389,0.40504,0.26714,1.3129,inf,1.26853,5.57674e-05,5.57674e-05,5.57674e-05,2
29,534.556,1.262,4.70446,1.29166,0.53326,0.39367,0.40542,0.26641,1.31415,inf,1.2718,5.49752e-05,5.49752e-05,5.49752e-05,2
30,552.976,1.26219,4.65755,1.28345,0.54679,0.38429,0.40647,0.26702,1.31824,inf,1.27149,5.41621e-05,5.41621e-05,5.41621e-05,2
31,569.746,1.27113,4.69458,1.28995,0.53835,0.39473,0.40808,0.26807,1.31748,inf,1.27261,5.33289e-05,5.33289e-05,5.33289e-05,2
32,587.534,1.26796,4.6885,1.29342,0.53622,0.39562,0.40487,0.26764,1.32145,inf,1.27183,5.24765e-05,5.24765e-05,5.24765e-05,2
33,606.194,1.27589,4.70996,1.29622,0.53786,0.39261,0.40524,0.26701,1.31821,inf,1.27553,5.16057e-05,5.16057e-05,5.16057e-05,2
